iter	Passed	Remaining
975	31937	33508
976	31968	33473
977	31999	33439
978	32030	33404
979	32060	33369
980	32092	33335
981	32122	33300
982	32156	33268
983	32188	33234
984	32220	33202
985	32252	33167
986	32281	33132
987	32312	33097
988	32343	33063
989	32376	33030
990	32407	32995
991	32437	32960
992	32469	32927
993	32500	32893
994	32533	32860
995	32565	32827
996	32599	32795
997	32630	32760
998	32659	32725
999	32690	32690
1000	32720	32654
1001	32750	32620
1002	32782	32586
1003	32814	32553
1004	32847	32520
1005	32877	32485
1006	32909	32452
1007	32940	32417
1008	32970	32382
1009	33000	32347
1010	33031	32313
1011	33072	32288
1012	33102	32252
1013	33131	32216
1014	33164	32183
1015	33194	32149
1016	33226	32115
1017	33256	32080
1018	33289	32047
1019	33322	32016
1020	33357	31985
1021	33391	31953
1022	33426	31923
1023	33457	31888
1024	33490	31856
1025	33522	31823
1026	33555	31791
1027	33589	31759
1028	33625	31730
1029	33657	31696
1030	33688	31663
1031	33721	31630
1032	33754	31597
1033	33786	31564
1034	33818	31531
1035	33854	31501
1036	33889	31470
1037	33922	31439
1038	33958	31408
1039	33991	31376
1040	34022	31342
1041	34056	31311
1042	34088	31277
1043	34129	31252
1044	34163	31221
1045	34195	31187
1046	34230	31156
1047	34263	31124
1048	34295	31091
1049	34326	31057
1050	34359	31024
1051	34393	30993
1052	34428	30962
1053	34462	30930
1054	34494	30898
1055	34526	30864
1056	34558	30830
1057	34590	30797
1058	34622	30764
1059	34657	30734
1060	34690	30701
1061	34724	30669
1062	34756	30636
1063	34789	30604
1064	34822	30572
1065	34856	30540
1066	34892	30510
1067	34924	30476
1068	34955	30443
1069	34987	30409
1070	35019	30376
1071	35051	30343
1072	35085	30311
1073	35116	30277
1074	35150	30245
1075	35183	30213
1076	35216	30180
1077	35247	30146
1078	35278	30112
1079	35311	30079
1080	35344	30047
1081	35377	30015
1082	35412	29984
1083	35445	29951
1084	35478	29919
1085	35509	29885
1086	35542	29853
1087	35574	29820
1088	35608	29788
1089	35642	29756
1090	35675	29723
1091	35709	29692
1092	35740	29658
1093	35771	29624
1094	35804	29592
1095	35836	29558
1096	35871	29527
1097	35905	29495
1098	35939	29464
1099	35972	29432
1100	36004	29398
1101	36036	29365
1102	36068	29332
1103	36102	29300
1104	36135	29267
1105	36168	29235
1106	36200	29202
1107	36235	29171
1108	36267	29138
1109	36298	29104
1110	36330	29071
1111	36362	29037
1112	36396	29005
1113	36429	28973
1114	36462	28940
1115	36494	28908
1116	36526	28874
1117	36558	28841
1118	36591	28808
1119	36624	28776
1120	36656	28743
1121	36689	28710
1122	36720	28676
1123	36753	28644
1124	36786	28612
1125	36818	28578
1126	36853	28547
1127	36886	28514
1128	36920	28483
1129	36952	28449
1130	36984	28416
1131	37016	28383
1132	37047	28349
1133	37080	28317
1134	37115	28285
1135	37149	28254
1136	37183	28222
1137	37216	28190
1138	37249	28157
1139	37280	28123
1140	37312	28090
1141	37344	28057
1142	37376	28024
1143	37409	27991
1144	37444	27960
1145	37477	27928
1146	37509	27895
1147	37541	27861
1148	37575	27829
1149	37609	27798
1150	37642	27765
1151	37675	27733
1152	37709	27701
1153	37741	27668
1154	37775	27636
1155	37809	27604
1156	37843	27573
1157	37875	27539
1158	37908	27507
1159	37941	27475
1160	37973	27441
1161	38006	27409
1162	38039	27376
1163	38073	27344
1164	38105	27311
1165	38139	27279
1166	38169	27245
1167	38202	27213
1168	38237	27181
1169	38269	27148
1170	38301	27115
1171	38332	27081
1172	38364	27048
1173	38396	27014
1174	38429	26982
1175	38461	26949
1176	38494	26916
1177	38529	26885
1178	38561	26852
1179	38593	26819
1180	38626	26786
1181	38658	26753
1182	38691	26720
1183	38723	26687
1184	38756	26655
1185	38789	26622
1186	38822	26590
1187	38856	26558
1188	38889	26526
1189	38922	26493
1190	38957	26462
1191	38989	26428
1192	39024	26398
1193	39057	26365
1194	39089	26332
1195	39123	26300
1196	39156	26268
1197	39191	26236
1198	39223	26203
1199	39256	26171
1200	39291	26139
1201	39324	26107
1202	39357	26074
1203	39389	26041
1204	39422	26008
1205	39456	25977
1206	39489	25944
